iteration,timestamp,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_elbow_x,left_elbow_y,left_elbow_z,hip_x,hip_y,hip_z,right_wrist_x,right_wrist_y,right_wrist_z,left_wrist_x,left_wrist_y,left_wrist_z,neck_x,neck_y,neck_z
4,1749062777.0,-0.3610638,0.4055847,1.993788,-0.01413259,0.4059209,2.012809,-0.4274904,0.1937377,1.969438,0.03804728,0.1760506,2.015913,-0.1885147,0.2356506,2.057662,-0.3888706,-0.009224243,1.868952,0.01384369,0.001240937,1.983731,-0.1802847,0.4627044,2.039047
4,1749062777.0333333,-0.3607059,0.4053179,1.993423,-0.0138151,0.4045484,2.013291,-0.4271462,0.1987677,1.95664,0.03835176,0.1766444,2.016629,-0.1884959,0.2353862,2.058325,-0.3929637,0.01901138,1.815201,0.01403401,0.001908013,1.983951,-0.1800248,0.4627241,2.040167
4,1749062777.0666666,-0.3594761,0.4046348,1.992053,-0.01356101,0.4043216,2.014125,-0.4247437,0.2294063,1.903886,0.03926835,0.1798306,2.017261,-0.1886409,0.2353549,2.059284,-0.3943704,0.05944009,1.752648,0.01464665,0.005148377,1.984294,-0.1804563,0.4627498,2.041825
4,1749062777.1,-0.3572669,0.4054823,1.989582,-0.01322244,0.4030856,2.015086,-0.4301756,0.2609806,1.896914,0.03901045,0.1802468,2.017345,-0.1885824,0.2353086,2.06055,-0.3924996,0.1211403,1.712546,0.01457011,0.005581305,1.984026,-0.1799986,0.4628376,2.043602
4,1749062777.1333334,-0.3519006,0.4070591,1.985113,-0.01331867,0.4027526,2.015746,-0.4135284,0.2924835,1.819773,0.03877042,0.1801493,2.017688,-0.1887742,0.2354743,2.062293,-0.3803156,0.1616837,1.648034,0.01282906,0.005682881,1.984475,-0.1797196,0.4632349,2.046106
4,1749062777.1666667,-0.3418503,0.415351,1.98154,-0.01414203,0.4061332,2.016941,-0.4067805,0.3386683,1.80826,0.03833662,0.1833113,2.019983,-0.1884402,0.2360053,2.063575,-0.3806866,0.2411398,1.623878,0.01229162,0.007462664,1.984749,-0.1791867,0.4635981,2.047697
4,1749062777.2,-0.3374262,0.4182509,1.980117,-0.01484964,0.4085988,2.017802,-0.40236,0.3584773,1.810974,0.03848054,0.1832957,2.020496,-0.1885512,0.2369114,2.06471,-0.378679,0.3147714,1.567842,0.01133956,0.006769356,1.984889,-0.1791729,0.4642534,2.049054
4,1749062777.2333333,-0.335405,0.4198448,1.979787,-0.01526803,0.409716,2.01843,-0.4356878,0.3232326,1.853382,0.03829227,0.1834405,2.020691,-0.1883813,0.2373966,2.065007,-0.3872762,0.3721779,1.680711,0.01079929,0.00622465,1.984984,-0.1790089,0.4646562,2.049544
4,1749062777.2666667,-0.3333547,0.4212633,1.979317,-0.01504421,0.4116995,2.019769,-0.4082267,0.4030622,1.797629,0.03857272,0.1851525,2.021518,-0.1882854,0.2385833,2.065238,-0.3720954,0.4395752,1.609638,0.01048505,0.006007384,1.985235,-0.1788727,0.4653086,2.049992
4,1749062777.3,-0.3321687,0.4231624,1.979172,-0.01545564,0.4122147,2.019873,-0.3991901,0.4564278,1.779009,0.03782826,0.187847,2.02341,-0.1895388,0.2397153,2.06452,-0.3551037,0.5077899,1.606216,0.01035826,0.006084218,1.985493,-0.1820954,0.4656637,2.049316
